lesion_voxels,lesion_count,cumulative_count,cumulative_fraction
10,21,21,0.02681992337164751
11,24,45,0.05747126436781609
12,19,64,0.08173690932311622
13,12,76,0.0970625798212005
14,14,90,0.11494252873563218
15,9,99,0.12643678160919541
16,6,105,0.13409961685823754
17,9,114,0.14559386973180077
18,14,128,0.16347381864623245
19,4,132,0.1685823754789272
20,12,144,0.1839080459770115
21,6,150,0.19157088122605365
22,9,159,0.20306513409961685
23,8,167,0.21328224776500637
24,8,175,0.22349936143039592
25,5,180,0.22988505747126436
26,3,183,0.23371647509578544
27,12,195,0.24904214559386972
28,4,199,0.2541507024265645
29,11,210,0.2681992337164751
30,5,215,0.27458492975734355
31,2,217,0.2771392081736909
32,2,219,0.2796934865900383
33,3,222,0.2835249042145594
34,2,224,0.28607918263090676
35,1,225,0.28735632183908044
36,4,229,0.29246487867177523
37,3,232,0.2962962962962963
39,3,235,0.3001277139208174
40,3,238,0.30395913154533843
41,3,241,0.30779054916985954
42,2,243,0.3103448275862069
43,2,245,0.3128991060025543
44,2,247,0.31545338441890164
45,2,249,0.31800766283524906
46,5,254,0.3243933588761175
47,2,256,0.3269476372924649
48,4,260,0.33205619412515963
51,1,261,0.3333333333333333
52,1,262,0.334610472541507
53,2,264,0.3371647509578544
54,1,265,0.3384418901660281
55,1,266,0.3397190293742018
57,2,268,0.34227330779054915
58,2,270,0.3448275862068966
59,1,271,0.34610472541507026
61,2,273,0.3486590038314176
62,2,275,0.351213282247765
63,1,276,0.3524904214559387
64,2,278,0.3550446998722861
65,1,279,0.3563218390804598
66,2,281,0.35887611749680715
67,2,283,0.3614303959131545
68,2,285,0.36398467432950193
70,1,286,0.3652618135376756
73,2,288,0.367816091954023
74,4,292,0.37292464878671777
75,1,293,0.37420178799489145
76,1,294,0.37547892720306514
78,1,295,0.3767560664112388
79,1,296,0.3780332056194125
81,3,299,0.3818646232439336
87,1,300,0.3831417624521073
88,1,301,0.384418901660281
90,1,302,0.38569604086845466
91,3,305,0.3895274584929757
92,1,306,0.39080459770114945
94,2,308,0.3933588761174968
98,1,309,0.3946360153256705
100,1,310,0.3959131545338442
102,1,311,0.39719029374201786
103,1,312,0.39846743295019155
104,1,313,0.3997445721583653
106,2,315,0.40229885057471265
108,1,316,0.40357598978288634
109,2,318,0.4061302681992337
114,1,319,0.4074074074074074
115,1,320,0.4086845466155811
119,1,321,0.4099616858237548
122,1,322,0.4112388250319285
124,1,323,0.4125159642401022
125,1,324,0.41379310344827586
129,2,326,0.4163473818646232
130,1,327,0.41762452107279696
132,1,328,0.41890166028097064
137,1,329,0.42017879948914433
140,1,330,0.421455938697318
144,2,332,0.4240102171136654
146,2,334,0.42656449553001274
147,2,336,0.42911877394636017
149,1,337,0.43039591315453385
154,1,338,0.43167305236270753
156,3,341,0.4355044699872286
157,1,342,0.4367816091954023
158,1,343,0.438058748403576
164,1,344,0.4393358876117497
165,1,345,0.44061302681992337
170,1,346,0.44189016602809705
174,1,347,0.44316730523627074
175,1,348,0.4444444444444444
176,1,349,0.44572158365261816
181,1,350,0.44699872286079184
189,1,351,0.4482758620689655
200,1,352,0.4495530012771392
202,1,353,0.4508301404853129
204,1,354,0.4521072796934866
206,1,355,0.45338441890166026
215,1,356,0.454661558109834
217,1,357,0.4559386973180077
219,1,358,0.45721583652618136
